_c0,_c1,cnt,1
弗利萨,PERSON_NAME,115,1
袁浩,PERSON_NAME,115,1
张福贞,PERSON_NAME,115,1
丁一舟,PERSON_NAME,115,1
《深夜食堂》,TV,115,1
武当山鹏,SCENE,115,1
杨菊珍,PERSON_NAME,115,1
上林坊2店,ADDR,115,1
昨天18:26,CLOCK,115,1
13948452023,PHONE_NUM,115,1
拉脱维亚,ADMIN,115,1
毛泽东思,PERSON_NAME,115,0
72.5,DATE,115,1
郑丽丽,PERSON_NAME,115,1
2018-03-17 00:00:00,DATE,115,1
S11,TRAIN_NUM,115,0
黄梅县,ADMIN,115,1
?,PROD_BRAND,115,0
夏文汐,PERSON_NAME,115,1
李昱,PERSON_NAME,115,1
4006695566,PHONE_NUM,115,1
冠希哥,PERSON_NAME,115,1
平罗,ADMIN,115,1
lonely,MUSIC,115,1
蔡婷,PERSON_NAME,115,1
龙氏集团,ADDR,115,1
曹爽,PERSON_NAME,115,1
世界地质公园,SCENE,115,1
魏市长,PERSON_NAME,115,1
昨天19:38,CLOCK,115,1
兰心,PERSON_NAME,115,1
同志街,ADDR,115,1
张政云,PERSON_NAME,115,1
寇振海,PERSON_NAME,115,1
69年,DATE,115,1
玩具车,PROD_TAG,115,1
x21ia,PROD_NAME,115,1
wap.yn.10086.cn/mall/onlinetakeon/bldk/login.jsp,URL,115,1
姚母,PERSON_NAME,115,1
余勇,PERSON_NAME,115,1
朱超,PERSON_NAME,115,1
吉林农信,ADDR,115,1
广汽丰田,ADDR,115,1
43426,DATE,115,1
2018年6月1,DATE,115,1
刘艳红,PERSON_NAME,115,1
傲世九重天,BOOK,115,1
储蓄卡,APP_NAME,115,0
克林,PERSON_NAME,115,1
瑾棉,PERSON_NAME,115,1
马帅,PERSON_NAME,115,1
星星点灯,FILM,115,1
?,,,1
,PROD_NAME,115,1
张金龙,PERSON_NAME,115,1
湖南武冈,ADMIN,115,1
故事机,PROD_TAG,115,1
vivo X21新时代,,,1
,PROD_NAME,115,1
台湾省台北市,ADMIN,115,1
昨天18:52,CLOCK,115,1
2017-09-04 00:00:00,DATE,115,1
http://t.cn/R3L7HAE,URL,115,1
688,,,1
,PROD_NAME,115,1
千手观音,PERSON_NAME,115,0
中影,ADDR,115,1
07:40:00,CLOCK,115,1
林英,PERSON_NAME,115,1
陈某某,PERSON_NAME,115,1
刘伶,PERSON_NAME,115,1
沫晗依美夏日气质连衣裙,PROD_NAME,115,1
铁拳,FILM,115,1
尹婷,PERSON_NAME,115,1
www.tdg58.com,URL,115,1
4.03,DATE,115,1
苏鑫,PERSON_NAME,115,1
柳絮,PERSON_NAME,115,1
闵行区,ADMIN,115,1
海曙,ADMIN,115,1
r.Refrac,URL,115,0
雷神3,FILM,115,1
刘思怡,PERSON_NAME,115,1
360(360软件),APP_NAME,115,1
43262,DATE,115,1
毛姆,PERSON_NAME,115,1
魏静,PERSON_NAME,115,1
众安,ADDR,115,1
《诗》,BOOK,115,1
国力,ADDR,115,1
随遇而安,BOOK,115,1
楚浩,PERSON_NAME,115,1
谢琴,PERSON_NAME,115,1
71.8,DATE,115,1
《宫》,TV,115,1
东升庙,SCENE,115,1
银联商务,APP_NAME,115,1
方先生,PERSON_NAME,115,1
Visa,ADDR,115,1
唐门,PERSON_NAME,115,1
罗海琼,PERSON_NAME,115,1
vivk X20,PROD_NAME,115,1
襄县,ADMIN,115,1
徐歧贞,PERSON_NAME,115,1
Joyce,PERSON_NAME,115,1
上海虹桥站,STATION,115,1
《前世的,,,1
,TV,115,1
玲花,PERSON_NAME,115,1
中医科,HOSPITAL,115,1
vivian,PERSON_NAME,115,1
乐山警方,GOV,115,1
上下九,ADDR,115,1
KAI,PERSON_NAME,115,1
《三体》,FILM,115,1
秦淑,PERSON_NAME,115,1
李美璇,PERSON_NAME,115,1
周三上午,CLOCK,115,1
42931,DATE,115,1
O(∩_∩)O哈哈~,EXPR_NAME,115,1
硬骨头之绝地归途,FILM,115,1
华为Mate20,PROD_NAME,115,1
杜迪安,PERSON_NAME,115,1
晋城银行,ADDR,115,1
?,ADDR,115,0
2017-02-03 00:00:00,DATE,115,1
康哥,PERSON_NAME,115,1
第七组金鸿3店,ADDR,115,1
小米7手机,PROD_NAME,115,1
《体面》,MUSIC,115,1
秋意浓,MUSIC,115,1
英格尔斯,PERSON_NAME,115,1
恒隆,ADDR,115,1
马尔斯不粘锅三件套,PROD_NAME,115,0
葛洲坝,ADDR,115,1
陆红,PERSON_NAME,115,1
叶汉,PERSON_NAME,115,1
m.v.qq.com,URL,115,1
中国太平,ADDR,115,1
武汉武汉,ADMIN,115,1
连帽衫,PROD_TAG,115,1
9.26,DATE,115,1
短裙套装,PROD_TAG,115,1
0.8125,CLOCK,115,1
公孙蓝兰,PERSON_NAME,115,1
马诺,PERSON_NAME,115,1
红米,PROD_NAME,115,1
A59,PROD_NAME,115,1
高碑店,ADMIN,115,1
越战越勇,TV,115,1
闫冰冰,PERSON_NAME,115,1
湖南大学,SCHOOL,115,1
徐俊,PERSON_NAME,115,1
磊子,PERSON_NAME,115,1
37865,DATE,115,1
http://m.ppdai.com,URL,115,1
1969,DATE,115,1
雷姐,PERSON_NAME,115,1
2017.7,DATE,115,1
安邦集团,ADDR,115,1
蔡师傅,PERSON_NAME,115,1
宇飞,PERSON_NAME,115,1
廖姐,PERSON_NAME,115,1
陈力,PERSON_NAME,115,1
绿军,PERSON_NAME,115,1
尼坤,PERSON_NAME,115,1
股海商学院,SCHOOL,115,1
崔先生,PERSON_NAME,115,1
可口可乐公司,ADDR,115,1
华为畅享8Plus,PROD_NAME,115,1
赵洪,PERSON_NAME,115,1
《加勒比海盗》,FILM,115,1
和平区,ADMIN,115,1
梁兆武,PERSON_NAME,115,1
小斯,PERSON_NAME,115,1
南中国海,SCENE,115,1
蔡妍,PERSON_NAME,115,1
半城烟沙,MUSIC,115,1
上海等地,ADMIN,115,1
陈楠,PERSON_NAME,115,1
39264,DATE,115,1
《猫》,BOOK,115,1
中国内地,ADMIN,115,1
昨天19:26,CLOCK,115,1
布洛克,PERSON_NAME,115,1
39508,DATE,115,1
杨红霞,PERSON_NAME,115,1
熊辉,PERSON_NAME,115,1
严伟华,PERSON_NAME,115,1
www.496012.com,URL,115,1
运动鞋垫,PROD_TAG,115,1
4月2,DATE,115,1
紫荆山路,ADDR,115,1
夏薇,PERSON_NAME,115,1
黄永华,PERSON_NAME,115,1
邢楠楠,PERSON_NAME,115,1
朱安妮,PERSON_NAME,115,1
华米,PERSON_NAME,115,1
理查德,PERSON_NAME,115,1
韩版衣服,PROD_TAG,115,1
李梓,PERSON_NAME,115,1
宋某,PERSON_NAME,115,1
野圌,PERSON_NAME,115,1
宋坤,PERSON_NAME,115,1
13135299017,PHONE_NUM,115,1
绝不认输,TV,115,1
林诺,PERSON_NAME,115,1
见字如面,TV_SHOW,115,1
35,STOCK_CODE,115,0
mix,PROD_NAME,115,1
43255,DATE,115,1
孙林,PERSON_NAME,115,1
淳儿,PERSON_NAME,115,0
x21电容版,PROD_NAME,115,0
一闪一闪亮晶晶,TV,115,1
郑州市区,ADMIN,115,1
元稹,PERSON_NAME,115,1
http://t.cn/RutXbxL,URL,115,1
张玉容,PERSON_NAME,115,1
JBL,PROD_BRAND,115,1
阿拉斯加犬,ANIMAL,115,1
哲哲,PERSON_NAME,115,1
黎先生,PERSON_NAME,115,1
李海芳,PERSON_NAME,115,1
还呗,APP_NAME,115,1
2017-09-12 00:00:00,DATE,115,1
乳液面霜,PROD_TAG,115,1
张常宁,PERSON_NAME,115,1
早上5:30,CLOCK,115,1
周健,PERSON_NAME,114,1
2017-09-14 00:00:00,DATE,114,1
谭颖,PERSON_NAME,114,1
斯马特,PERSON_NAME,114,1
冯庙,SCENE,114,1
《爱莲说》,FILM,114,1
许波教练,PERSON_NAME,114,1
龙老师,PERSON_NAME,114,1
《藏宝图》,BOOK,114,1
罗俊,PERSON_NAME,114,1
小婉,PERSON_NAME,114,1
x9i,PROD_NAME,114,1
电脑显示器,PROD_TAG,114,1
瑞秋,PERSON_NAME,114,1
15573979312,PHONE_NUM,114,1
邢正霆,PERSON_NAME,114,1
mormirr,PROD_NAME,114,1
泸县,ADMIN,114,1
0209家庭式饭店,CATER,114,0
金耳,PLANT,114,1
c.tb.cn/c.ZodZT,URL,114,1
朱勇,PERSON_NAME,114,1
张蒙,PERSON_NAME,114,1
李栋,PERSON_NAME,114,1
13361078890,PHONE_NUM,114,1
4月16,DATE,114,1
钱大掌柜,APP_NAME,114,1
?,ADDR,114,0
叶江,PERSON_NAME,114,1
赵秦,PERSON_NAME,114,1
叶晟唯,PERSON_NAME,114,1
《孙子兵法》,BOOK,114,1
国脉大厅,ADDR,114,1
吴莫愁,PERSON_NAME,114,1
￥78￥,TAOBAO_PROD_ID,114,0
明天上午10:00,CLOCK,114,1
高腰连衣裙,PROD_TAG,114,1
《卫报》,BOOK,114,1
43617,DATE,114,1
昨天19:43,CLOCK,114,1
梁瑞玲,PERSON_NAME,114,1
胡英,PERSON_NAME,114,1
王耀丽,PERSON_NAME,114,1
《曾道人攻略》,BOOK,114,1
x21硅胶手机套,PROD_NAME,114,1
黄凯,PERSON_NAME,114,1
?vivoy83,PROD_NAME,114,1
本山传媒,ADDR,114,1
亚丁,SCENE,114,1
三角塘汽车东站,STATION,114,1
合生元,PROD_BRAND,114,1
明度PRO,,,1
,PROD_NAME,114,1
贾妮,PERSON_NAME,114,1
莆田·拱辰街区,ADDR,114,1
昨天17:56,CLOCK,114,1
15807399116,PHONE_NUM,114,1
谭晶,PERSON_NAME,114,1
邵阳凯轩花园东头,ADDR,114,1
南京市,,,1
,ADDR,114,1
奇小艺,PERSON_NAME,114,1
http://t.cn/REuNMOd,URL,114,1
t.geedai.com/2AzyMv,URL,114,1
库拉索芦荟,PROD_BRAND,114,1
安仔,PERSON_NAME,114,1
08:01:00,CLOCK,114,1
http://bjbj01.com/?ref=shareapk,URL,114,1
香港海关,GOV,114,1
7269709,PHONE_NUM,114,1
淮阴区,ADMIN,114,1
http://hb.fx.vivo.cn:8888,URL,114,1
迪信通y85,,,1
,PROD_NAME,114,1
vivo V3Max,PROD_NAME,114,1
?vivoy85,PROD_NAME,114,1
张锦,PERSON_NAME,114,1
刘晓丽,PERSON_NAME,114,1
凯特·布兰切特,PERSON_NAME,114,1
徐子彦,PERSON_NAME,114,1
http://tb.cn/3eXI06y,URL,114,1
安阳,,,1
,SCENE,114,1
艾茜噜咔,PROD_BRAND,114,1
宝钢,ADDR,114,1
vivi V9智能手机,PROD_NAME,114,1
,,,1
,,,1
,CATER,114,1
刘轩,PERSON_NAME,114,1
张志鹏,PERSON_NAME,114,1
欧阳美琦,PERSON_NAME,114,1
07:20:00,CLOCK,114,1
?,PROD_BRAND,114,0
《全球风暴》,FILM,114,1
宝庆路妇幼保健院,HOSPITAL,114,1
张小红,PERSON_NAME,114,1
陶谦,PERSON_NAME,114,1
林染,PERSON_NAME,114,1
佐佐木,PERSON_NAME,114,1
县人民政府,GOV,114,1
海兴,ADMIN,114,1
中央音乐学院,SCHOOL,114,1
25.1,DATE,114,1
华南,ADDR,114,1
皇甫姗姗,PERSON_NAME,114,1
尹俊,PERSON_NAME,114,1
小邵,PERSON_NAME,114,1
昨天18:03,CLOCK,114,1
《旋风少女》,TV,114,1
13809820859,PHONE_NUM,114,1
杨小兰,PERSON_NAME,114,1
牛皮鞋,PROD_TAG,114,1
q.url.cn/CDzeTo,URL,114,1
\(^o^)/,EXPR_NAME,114,1
西湖区,ADMIN,114,1
华腾飞,PERSON_NAME,114,1
秀色直播,APP_NAME,114,1
阿彪,PERSON_NAME,114,1
王妮,PERSON_NAME,114,1
黄飞鸿,FILM,114,1
杨忠,PERSON_NAME,114,1
晚上7点半,CLOCK,114,1
严守一,PERSON_NAME,114,1
刘国,PERSON_NAME,114,1
华为5,PROD_NAME,114,1
林平之,PERSON_NAME,114,1
玛丽莲·梦露,PERSON_NAME,114,1
李菁,PERSON_NAME,114,1
尔冬升,PERSON_NAME,114,1
港北区,ADMIN,114,1
严华,PERSON_NAME,114,1
李菊霞,PERSON_NAME,114,1
http://t.cn/RYzZDmg,URL,114,1
杜敏,PERSON_NAME,114,1
机械驾校,SCHOOL,114,1
监利,ADMIN,114,1
张义,PERSON_NAME,114,1
白若溪,PERSON_NAME,114,1
蔡娟,PERSON_NAME,114,1
精选速购,APP_NAME,114,1
福建江西,ADMIN,114,1
刘富贵,PERSON_NAME,114,1
10点30,CLOCK,114,1
付云皓,PERSON_NAME,114,1
南门桥,ADDR,114,1
双面胶,TV,114,1
张达民,PERSON_NAME,114,1
影子爱人,FILM,114,1
40909,DATE,114,1
杨微,PERSON_NAME,114,1
萍乡市,ADMIN,114,1
18173968881,PHONE_NUM,114,1
赵志伟,PERSON_NAME,114,1
制服丝袜,PROD_TAG,114,1
富力地产,ADDR,114,1
17718991118,PHONE_NUM,114,1
05:04:00,CLOCK,114,1
张志勇,PERSON_NAME,114,1
林艺杰,PERSON_NAME,114,1
11:00:00,CLOCK,114,1
炜炜,PERSON_NAME,114,1
唐心怡,PERSON_NAME,114,1
HMAE,PROD_BRAND,114,1
公主坟,ADDR,114,1
李雪莲,PERSON_NAME,114,1
周佛海,PERSON_NAME,114,1
https://w.url.cn/,URL,114,1
这！就是街舞第一季,TV_SHOW,114,1
罗振宇,PERSON_NAME,114,1
中科,,,1
,ADDR,114,1
中华人民共和国国务院,GOV,114,1
中国解放军,GOV,114,1
杨静,,,1
,PERSON_NAME,114,1
龙傲天,PERSON_NAME,114,1
MT10 Pro,PROD_NAME,114,1
萧阳,PERSON_NAME,114,1
爱妻,BOOK,114,0
张瑞英,PERSON_NAME,114,1
兰考火车站,STATION,114,1
唐欣,PERSON_NAME,114,1
阿苏,PERSON_NAME,114,1
张露露,PERSON_NAME,114,1
http://aq.qq.com/sj,URL,114,1
透明丝袜,PROD_TAG,114,1
吴玉恒,PERSON_NAME,114,1
江春花,PERSON_NAME,114,1
1001,TRAIN_NUM,114,0
y71,PROD_BRAND,114,1
18975986032,PHONE_NUM,114,1
套餐外,ADDR,114,1
李迪,PERSON_NAME,114,1
15173997839,PHONE_NUM,114,1
森马T恤,PROD_NAME,114,1
杜德伟,PERSON_NAME,114,1
陈石房,PERSON_NAME,114,1
笛卉,PROD_BRAND,114,1
infinite,PERSON_NAME,114,1
万超,PERSON_NAME,114,1
?店,ADDR,114,0
中国太平95589,ADDR,114,1
jourson,PROD_NAME,114,1
周公解梦大全,APP_NAME,114,1
康迪,PERSON_NAME,114,1
明日世界,FILM,114,1
蔓藤,PLANT,114,1
宋晓丹,PERSON_NAME,114,1
此生不换,MUSIC,114,1
13762880762,PHONE_NUM,114,1
卢龙,ADMIN,114,1
《魔都风云》,TV,114,1
随行付MPOS,APP_NAME,114,1
2001-02-05 00:00:00,DATE,114,1
sebizy.com,URL,114,1
海之圣源创养生馆,ADDR,114,1
《经常请吃饭的漂亮姐姐》,TV,114,1
43274,DATE,114,1
王小平,PERSON_NAME,114,1
北二环,ADDR,114,1
嘉尔,PERSON_NAME,114,1
收腰上衣,PROD_TAG,114,1
13203265217,PHONE_NUM,114,1
崔经理,PERSON_NAME,114,1
杭州,,,1
,ADDR,114,1
夜色撩人,FILM,114,1
奚九夜,PERSON_NAME,114,1
《老九门》,TV,114,1
中山陵,SCENE,114,1
赵宁,PERSON_NAME,114,1
?,PERSON_NAME,114,0
钟林姗,PERSON_NAME,114,1
手机搜狐,APP_NAME,114,1
局子,ADDR,114,0
姚晓春,PERSON_NAME,114,1
凌尘,PERSON_NAME,114,1
魅蓝E,PROD_NAME,114,1
43194,DATE,114,1
华为nova3E,PROD_NAME,114,1
雷红梅,PERSON_NAME,114,1
13786911486,PHONE_NUM,114,1
道恩·强森,PERSON_NAME,114,1
牛群,PERSON_NAME,114,1
完美邂逅,TV,114,1
3月1号,DATE,114,1
31.3,DATE,114,1
顾鹏,PERSON_NAME,114,1
紫棋,PERSON_NAME,114,1
13907390082,PHONE_NUM,114,1
昨天19:44,CLOCK,114,1
寮步,ADMIN,114,1
邵阳市大祥区城北路北门口中老年服装店,ADDR,114,1
张小敏,PERSON_NAME,114,1
张雨晴,PERSON_NAME,114,1
曹女士,PERSON_NAME,114,1
张掖市,ADMIN,114,1
vivoy67手机壳,PROD_NAME,114,1
57.6,DATE,114,1
看小说,APP_NAME,114,1
韦桂宁,PERSON_NAME,114,1
深圳大学,SCHOOL,114,1
江北望江楼九江社区三栋3单元9楼,ADDR,114,1
蒼井空,PERSON_NAME,113,1
杜冰雁,PERSON_NAME,113,1
蚶江智通,ADDR,113,1
陈贵正宇,PERSON_NAME,113,1
李珂,PERSON_NAME,113,1
豆瓣电影,APP_NAME,113,1
18807399986,PHONE_NUM,113,1
蔡龙杰,PERSON_NAME,113,1
闪迪,PROD_BRAND,113,1
刘小兵,PERSON_NAME,113,1
https://pan,URL,113,1
vivo X21手机壳,PROD_NAME,113,1
2017-09-26 00:00:00,DATE,113,1
大妹,PERSON_NAME,113,1
爸爸回来了,TV_SHOW,113,1
伯克希尔,ADDR,113,1
张益达,PERSON_NAME,113,1
《劳动法》,BOOK,113,0
2018.2,DATE,113,1
6.02,DATE,113,1
穆青,PERSON_NAME,113,1
老先生,BOOK,113,1
冯国璋,PERSON_NAME,113,1
无迹可寻,FILM,113,1
仪征区,ADMIN,113,1
慧玲,PERSON_NAME,113,1
熊茗,PERSON_NAME,113,1
中国石化江苏客户服务中心,ADDR,113,1
刘畊宏,PERSON_NAME,113,1
贵州电网,ADDR,113,1
纱衣,PROD_TAG,113,1
百慕大,ADMIN,113,1
2018-04-14 00:00:00,DATE,113,1
花绮罗,PERSON_NAME,113,1
?,ADDR,113,0
王艳艳,PERSON_NAME,113,1
格力,,,1
,PROD_NAME,113,1
高通骁龙多核神经网络加速芯片660 AIE,PROD_NAME,113,1
10.29,DATE,113,1
微盟,ADDR,113,1
41214,DATE,113,1
电动剃须刀,PROD_TAG,113,1
新浦,ADMIN,113,1
SGS,ADDR,113,1
2018.06.30,DATE,113,1
毛孔清洁器,PROD_TAG,113,1
谢媛,PERSON_NAME,113,1
OPPOR11,PROD_NAME,113,1
李俊英,PERSON_NAME,113,1
黄飞腾,PERSON_NAME,113,1
江源,ADMIN,113,1
斌子,PERSON_NAME,113,1
07日,DAY,113,0
月半小夜曲,MUSIC,113,1
壁挂式空调,PROD_TAG,113,1
魔力,BOOK,113,0
1304,TRAIN_NUM,113,0
董毅,PERSON_NAME,113,1
X21黑1,PROD_NAME,113,1
7.02,DATE,113,1
file:///C,URL,113,1
陈珂,PERSON_NAME,113,1
绥阳,ADMIN,113,1
n(*≧▽≦*)n,EXPR_NAME,113,1
巴黎圣日耳曼,TEAM,113,1
华为荣耀8,PROD_NAME,113,1
张建国,PERSON_NAME,113,1
苏秦,PERSON_NAME,113,1
拍拍贷借款,APP_NAME,113,1
X21 X21 X21,,,1
,PROD_NAME,113,1
许家,PERSON_NAME,113,1
11.26,DATE,113,1
张松林,PERSON_NAME,113,1
红米2,PROD_NAME,113,1
刘锐,PERSON_NAME,113,1
机械师,FILM,113,1
昌图,ADMIN,113,1
哈曼卡顿,PROD_BRAND,113,1
0.354166666667,CLOCK,113,1
雨晴,PERSON_NAME,113,1
￥1￥,TAOBAO_PROD_ID,113,0
昨天18:12,CLOCK,113,1
田风,PERSON_NAME,113,1
陈三玲,PERSON_NAME,113,1
王喆,PERSON_NAME,113,1
代国宏,PERSON_NAME,113,1
芳儿,PERSON_NAME,113,1
11.21,DATE,113,1
S2,PROD_NAME,113,1
刘佳莹,PERSON_NAME,113,1
驱蚊灯,PROD_TAG,113,1
阿克苏地区,ADMIN,113,1
生死狙击,FILM,113,1
张雅,PERSON_NAME,113,1
李彩桦,PERSON_NAME,113,1
邓文艳,PERSON_NAME,113,1
张欣怡,PERSON_NAME,113,1
大理,,,1
,SCENE,113,1
杜克,PERSON_NAME,113,1
手机taobao,APP_NAME,113,1
龙南,ADMIN,113,1
D6,TRAIN_NUM,113,0
阿部宽,PERSON_NAME,113,1
游泳裤,PROD_TAG,113,1
王琳琳,PERSON_NAME,113,1
文涛,PERSON_NAME,113,1
《中华字经》,BOOK,113,1
彩旗,PERSON_NAME,113,1
42906,DATE,113,1
飞利浦,ADDR,113,1
15.01,DATE,113,1
http://dx.10086.cn/JE3mEbm,URL,113,1
弥勒移动厅,ADDR,113,1
侯总,PERSON_NAME,113,1
王正,PERSON_NAME,113,1
昨天19:01,CLOCK,113,1
宋妍,PERSON_NAME,113,1
邵阳市大祥区南正街福利彩票店,ADDR,113,1
三十号,DAY,113,0
乔宁,PERSON_NAME,113,1
李湛,PERSON_NAME,113,1
by2,PERSON_NAME,113,1
王仙芝,PERSON_NAME,113,1
韩婵,PROD_BRAND,113,1
?,PERSON_NAME,113,0
乌兰巴托,ADMIN,113,1
黄琳,PERSON_NAME,113,1
2018-05-05 00:00:00,DATE,113,1
姚女士,PERSON_NAME,113,1
孙艳梅,PERSON_NAME,113,1
cx.tmall.com,URL,113,1
牧马人,PROD_BRAND,113,1
2018-03-23 00:00:00,DATE,113,1
王瑾,PERSON_NAME,113,1
李在镕,PERSON_NAME,113,1
周新,PERSON_NAME,113,1
乐福,ADDR,113,1
驱蚊水,PROD_TAG,113,1
羊皮卷,BOOK,113,1
洪,,,1
,PERSON_NAME,113,1
05日,DAY,113,0
sq.jd.com/eVMpB2g,URL,113,1
黄丹丹,PERSON_NAME,113,1
A8,PROD_NAME,113,0
夏管家,PERSON_NAME,113,1
李庆宁,PERSON_NAME,113,1
35.1,DATE,113,1
三环,ADDR,113,1
钱穆,PERSON_NAME,113,1
43195,DATE,113,1
12点30分,CLOCK,113,1
玖恩,PROD_BRAND,113,1
张国华,PERSON_NAME,113,1
阿诺德,PERSON_NAME,113,1
明早七点,CLOCK,113,1
天和专卖店,ADDR,113,1
金婷,PERSON_NAME,113,1
vivo辽宁服务中心,ADDR,113,1
70.5,DATE,113,1
中国铁路客户服务中心,ADDR,113,1
╭(╯^╰)╮,EXPR_NAME,113,1
13036730869,PHONE_NUM,113,1
18273987693,PHONE_NUM,113,1
X21i,ADDR,113,0
我错了,BOOK,113,0
1860年,DATE,113,1
林笑笑,PERSON_NAME,113,1
贺一鸣,PERSON_NAME,113,1
《湄公河行动》,FILM,113,1
vivoY66,PROD_NAME,113,1
一字拖,PROD_TAG,113,1
新津,ADMIN,113,1
Gap,PROD_BRAND,113,1
施耐庵,PERSON_NAME,113,1
张婧,PERSON_NAME,113,1
http://t.cn/RmxdWih,URL,113,1
公孙止,PERSON_NAME,113,1
太谷,ADMIN,113,1
Hear Me Now,MUSIC,113,1
体育广场,ADDR,113,1
0.6875,CLOCK,113,1
余江电信,ADDR,113,1
浙江省宁波市,ADMIN,113,1
vivo Y66L,PROD_NAME,113,1
音频线,PROD_TAG,113,1
张云霞,PERSON_NAME,113,1
《条例》,BOOK,113,0
张小花,PERSON_NAME,113,1
徐彬,PERSON_NAME,113,1
项阳,PERSON_NAME,113,1
梦醒了,MUSIC,113,1
十二宫,FILM,113,1
天河机场,STATION,113,1
小龙坎老火锅,CATER,113,1
三月二十六,DATE,113,1
李妈妈,PERSON_NAME,113,1
2017-08-22 00:00:00,DATE,113,1
密室,BOOK,113,0
赵洋,PERSON_NAME,113,1
陈茜,PERSON_NAME,113,1
小蕾,PERSON_NAME,113,1
金粉世家,TV,113,1
郭阳,PERSON_NAME,113,1
cmbt.cn/en7,URL,113,1
山西晋中,ADMIN,113,1
三月二十五,DATE,113,1
43141,DATE,113,1
谢仲佳,PERSON_NAME,113,1
颜丙燕,PERSON_NAME,113,1
TCL微电视,PROD_NAME,113,1
oppo/vivo,PROD_NAME,113,0
春节联欢晚会,TV,113,1
http://t.cn/RXE6Ql2,URL,113,1
程哥,PERSON_NAME,113,1
还珠,TV,113,1
喜来登,HOTEL,113,1
团结路,ADDR,113,1
乌兰察布市,ADMIN,113,1
43435,DATE,113,1
高捷,PERSON_NAME,113,1
二爷,PERSON_NAME,113,1
47年,DATE,113,1
步步高Y71,PROD_NAME,113,1
今年5月12日,DATE,113,1
舒仟城,PERSON_NAME,113,1
www.ifastar.com,URL,112,1
陈新,PERSON_NAME,112,1
42925,DATE,112,1
满江,PERSON_NAME,112,1
华中师范大学,SCHOOL,112,1
许玲,PERSON_NAME,112,1
道县爱莲桥,ADDR,112,1
x21黑金,PROD_NAME,112,1
小姨子的诱惑,FILM,112,1
0.645833333333,CLOCK,112,1
理工,SCHOOL,112,1
竹镇专卖店,ADDR,112,1
团市委,GOV,112,1
Ardor罪爱费洛蒙香水,PROD_NAME,112,1
赵博,PERSON_NAME,112,1
田老师,PERSON_NAME,112,1
2017-11-07 00:00:00,DATE,112,1
天丝面膜,PROD_NAME,112,1
04:06:00,CLOCK,112,1
?,PERSON_NAME,112,0
《这就是铁甲》,TV,112,0
北海,,,1
,SCENE,112,1
格力集团,ADDR,112,1
平安驾校,SCHOOL,112,1
工业路,ADDR,112,1
oppo 3,PROD_NAME,112,1
李雪虎,PERSON_NAME,112,1
43203,DATE,112,1
霍尔,PERSON_NAME,112,1
郭冬临,PERSON_NAME,112,1
抖音视频,APP_NAME,112,1
张萧晗,PERSON_NAME,112,1
爱我别走,MUSIC,112,1
小邹,PERSON_NAME,112,1
三：14,CLOCK,112,0
邱园园,PERSON_NAME,112,1
在水一方,ADDR,112,1
任凯,PERSON_NAME,112,1
(*^▽^*),EXPR_NAME,112,1
进贤二店,ADDR,112,1
德江,ADMIN,112,1
闫绍红,PERSON_NAME,112,1
六月二号,DATE,112,1
唐哥,PERSON_NAME,112,1
王姝,PERSON_NAME,112,1
三草两木,PROD_NAME,112,1
人民路联通厅,ADDR,112,1
Prabhu,PERSON_NAME,112,1
05月09,DATE,112,1
?,SCENE,112,0
王永红,PERSON_NAME,112,1
安卡拉,ADMIN,112,1
邬珍珠,PERSON_NAME,112,1
40513,DATE,112,1
黄狮海新街,ADDR,112,1
广州亚美科技,ADDR,112,1
10016.worose.com,URL,112,1
破洞牛仔短裤,PROD_BRAND,112,0
游本昌,PERSON_NAME,112,1
连衣长裙,PROD_TAG,112,1
嘉祥,ADMIN,112,1
郑州公安,GOV,112,1
2017-09-25 00:00:00,DATE,112,1
谢经理,PERSON_NAME,112,1
李美,PERSON_NAME,112,1
不药而愈,MUSIC,112,1
江西吉安,ADMIN,112,1
https://b11.ifa.plus,URL,112,1
行霈,PERSON_NAME,112,0
李伟东,PERSON_NAME,112,1
崔天凯,PERSON_NAME,112,1
顾青,PERSON_NAME,112,1
崂山区,ADMIN,112,1
漠河,ADMIN,112,1
《被偷走的那五年》,FILM,112,1
最美的期待,MUSIC,112,1
李侠,PERSON_NAME,112,1
吴洋,PERSON_NAME,112,1
吴大妈,PERSON_NAME,112,1
哥伦布,ADMIN,112,1
温亭湛,PERSON_NAME,112,1
www.krudjwa.com,URL,112,1
李海峰,PERSON_NAME,112,1
05月08,DATE,112,1
色即是空,FILM,112,1
一加6手机,PROD_NAME,112,1
北京市政府,GOV,112,1
010-59802899,PHONE_NUM,112,1
伍德,PERSON_NAME,112,1
听风,MUSIC,112,1
莫衍,PERSON_NAME,112,1
刘艳玲,PERSON_NAME,112,1
镇元子,PERSON_NAME,112,1
李文林,PERSON_NAME,112,1
0.270833333333,CLOCK,112,1
霍尔果斯,ADMIN,112,1
傅雷,PERSON_NAME,112,1
42969,DATE,112,1
陈碧霜,PROD_NAME,112,1
吕蒙,PERSON_NAME,112,1
人民广场工人文化宫,ADDR,112,1
高欢,PERSON_NAME,112,1
阿良,PERSON_NAME,112,1
43148,DATE,112,1
陈彩霞,PERSON_NAME,112,1
06:02:00,CLOCK,112,1
0x7.me/P4GS,URL,112,0
60小时,TIME_OTHER,112,1
